;1;2;3;4;5;6;7;8;9;10;11;12;13;14
1;507.5659024777834;1800.1514068371932;3048.259308911112;2209.1489522020606;360.5134524563097;4804.222105568133;1792.4552162367636;3858.1859553707473;2971.532467341482;819.9543017790606;4229.482484493381;4687.955312586508;1606.729995319824;1190.8191950789264
1;1990.6668946323614;753.0273711005464;612.7912324186025;1047.8115323698678;232.16739111716066;2946.389311033067;3544.111010572783;2479.8190276104892;1500.847068750909;2302.978726768603;3639.635576413601;1659.2765557947903;562.4957608625431;1268.559017078441
1;4282.833043246447;3580.735761107402;770.3477686256172;2140.2565103272996;1184.60980468633;3103.854541904868;2729.160516728925;4740.615692149479;2943.2408655269796;3729.397813542809;942.3796055871397;1027.2904539485562;1787.1036419478003;2701.8922702949194
1;908.7847164641155;1942.1071091650765;3899.8783783237136;1238.891420249641;950.7463230419311;1904.3474420514633;3527.423314001801;2958.315534250931;200.5277222276247;2334.058102848489;1680.7876211178325;4708.827225889866;3318.3457221456415;91.6668787062458
1;2673.4648601767153;4719.629664596484;705.886136630034;2456.1972805297332;1703.3895567669604;1692.155909714208;962.004398919995;2680.8033122779166;3481.4250363921046;2941.6153742523447;3727.5489703600974;2996.0798470398163;1785.985790525797;4668.056866211749
1;3274.1042618449446;4404.024448439007;3458.0299754877265;4577.432137220397;133.21049849686796;2758.207802843427;3721.888830440998;3217.937581295275;1663.0097986101582;2099.7068277649632;2777.117759298342;1978.8174798006557;1518.714208672622;702.2044369761793
1;3441.5459158908934;2596.7287448568786;2080.176409387544;4076.655937591519;3665.6604805132047;4717.712480544121;4901.80892435091;1644.3694920922812;3132.256588195883;3897.794745814036;276.1519174345195;990.7172494941984;4095.092580283232;3476.6144682684203
1;4053.7433806148415;801.6579112546285;1718.7322357132196;528.1930962039994;24.870686556564547;4463.432211557582;4382.770547568011;3213.5079047158897;586.743190580778;4275.027482198735;579.9036043098043;3582.6170471719747;3125.6398930641926;2680.5609120406857
1;4395.7172169493615;4416.066232944152;4876.144702231847;2821.444380839661;4119.405119635864;4791.787769361247;1320.1895087801736;1453.1829466592749;4424.6548917230375;4904.080088547294;3264.3363873444396;1320.4867082172827;4884.775625744538;2316.245429209592
1;3000.5689495687952;729.2300415686531;4134.570308340048;1880.1165123391183;1799.6409781677564;186.1695838173938;4620.338811903138;3275.1431006062676;2436.377034354156;2884.014650476448;592.5955607822192;4230.13137513495;3882.493284885285;3151.412135948825
1;1710.1889248337782;1094.6485812951285;2201.0423913142595;1219.1595043438235;3388.468722267897;3991.4742655173013;2482.319298186256;849.6847226256066;2031.2321569111298;196.51569619877296;619.6840993165891;3989.664866873624;2158.338284227933;2770.9901925598633
1;2061.1005756507157;4759.4639171668905;638.32834755215;242.90951625807355;2924.4545657060817;2663.834171690599;1072.131297430447;4718.477173587488;630.5650176166439;241.30101082669998;1931.7424481900775;1944.62502039435;1974.5818830752892;2108.6340573739158
1;3200.0223583351344;2758.495481761376;4977.654514724028;1443.0546740710488;867.5994320098513;141.7864219464704;4272.527903350053;581.1498278886218;42.358800855222256;1558.2157089686393;4756.344480290561;3030.27138712411;2129.5768189615487;3793.73886388605
1;3936.6612219782646;2535.35175882037;871.8545293355373;133.1232280156619;1158.4452877648139;1197.3536022350002;2534.0042999812295;3965.128087292594;1086.893052034334;693.1204300093008;2522.8625351317396;1694.9543389412447;4660.0504682520705;4522.247211021358
1;1604.0406188580807;757.2593097421826;3063.4423547366923;4745.963875503194;342.20962883190873;4501.433475143919;237.56958167580444;633.0499581918119;3784.584261238918;1793.4227751317894;3985.9872357264157;3222.124258280643;3351.8878442811656;2749.9981248369877
1;3868.2698711963235;3846.0974754861486;480.1305221028235;2848.1244585443815;3711.2611996820383;3063.946926174657;1212.1071895703317;3951.1800934853545;2044.1813391577057;2603.333714006047;1138.53225558866;4290.810715338216;2581.985527498366;360.9073660125772
